user_id	item_id	rating	utc
A3EBHHCZO6V2A4	5555991584	5	1158019200
A2P49WD75WHAG5	5555991584	5	1059523200
A3O90G1D7I5EGG	5555991584	3	959385600
A3EJYJC25OJVKK	5555991584	5	1040428800
A33TRNCQK4IUO7	5555991584	5	1052697600
A14BTJRH9VNLJJ	5555991584	5	1375142400
A2AOZQ3WTNVVOK	5555991584	5	1108425600
AHUT55E980RDR	5555991584	5	995328000
A24N1BAS3CU27H	5555991584	5	1123459200
A19YHEBK099R7U	5555991584	4	1261094400
AYZCMVSSL4X4B	5555991584	5	971827200
A12NFK3VGMQYVB	7901622466	5	1354665600
A200C7YQJ45LRR	B0000000ZW	4	1017014400
A3RNC9BGR4J1ZF	B0000000ZW	5	1055116800
A1X93ES4DITTWK	B0000000ZW	1	1146182400
AAQMHLS8BN9YJ	B0000000ZW	4	1071100800
AE9GUE3HHOX3U	B0000000ZW	5	1252627200
A31KXTOQNTWUVM	B00000016T	5	1386288000
A2EENLV6OQ3DYM	B00000016T	5	979430400
APOGXH3A74CM3	B00000016T	5	1068508800
A250BI36M1IR26	B00000016T	5	1104796800
AEFRJ6ZBKGZV2	B00000016T	5	1122076800
APTL3KI55TM8T	B00000016T	5	1349913600
A3T9IX8EDFDX4G	B00000016T	5	1076630400
A14BTJRH9VNLJJ	B00000016T	5	1366675200
ASSCA9IS0GWF5	B00000016T	5	1213833600
A2AOZQ3WTNVVOK	B00000016T	5	1038355200
A4VVYYB68NL4Z	B00000016T	4	1202774400
APN6DO7VHDLTN	B00000016T	5	1150243200
A1RJD10TTI568L	B00000016T	4	1058832000
A2TX79GR278JMA	B00000016T	5	1235001600
A1U2T71CDVKFRH	B00000016T	5	1376697600
A1BJJVV2B5VLUQ	B00000016T	5	959212800
A2TSHD7SWDGS58	B00000016T	5	1165708800
A5KJVGJ43ZDC9	B00000016T	5	1014681600
A1USDS1D8MZJUA	B00000016T	5	1371772800
A1FFPPPIOSI36M	B00000016T	4	1296086400
A22N03OBDDVSEB	B00000016T	5	1294358400
A2SF8H9HGK194L	B00000016T	5	1393459200
A23Q1T4MXZHFM7	B00000016T	5	1368230400
A1OML05BTJBEKS	B00000016T	5	1237766400
AKGOX5Y1EWDQV	B00000016T	5	967248000
A3464G00K8ZYD1	B00000016T	5	1130544000
A3KJ6JAZPH382D	B00000016T	5	1067212800
AFEN54UGJQOK9	B00000016T	5	1134691200
A4UKBG3M5U5TI	B00000016T	5	1117843200
A3HU0B9XUEVHIM	B00000016W	5	1321056000
A252HNVAZENVNE	B00000016W	5	1060732800
A1IKOYZVFHO1XP	B00000016W	5	1107216000
A1534MBU6VJXYN	B00000016W	5	1127779200
A3FWLWQC0PEGHX	B00000016W	5	1399766400
A31HTN51QNSQ3F	B00000016W	5	1124496000
A1AJR4BFQ5AW68	B00000016W	5	1059264000
A2TAPL67U2A5HM	B00000016W	4	1243036800
A2UO10VW2BLHUM	B00000016W	5	1076198400
A1MXPWDS7SVQN1	B00000016W	5	1019779200
A36RS7KTNOBROF	B00000016W	5	976838400
A3G10NPD661EQD	B00000016W	5	1136419200
ANBSW3BALFRR2	B00000016W	5	1107388800
A32EDSKLEUZ3Y7	B00000016W	5	1082160000
A1906RZITWT2K2	B00000016W	5	988416000
A3U82GFSD94BU	B00000016W	5	1371081600
A3CFORW4TMX9U	B00000016W	5	1398643200
AXFI7TAWD6H6X	B00000016W	5	994032000
A26NLSTT75FMJM	B00000016W	3	1172016000
A2C7BOQVFH1HLE	B00000016W	4	1334880000
A2BO41VARYGTAC	B00000016W	5	999648000
A2HWD9PTM7RBXN	B00000016W	2	979948800
AYOO12C9Y2T95	B00000016W	5	1111104000
A1J5KCZC8CMW9I	B00000016W	5	1078704000
A22VNXHU6IZ5MT	B00000016W	5	1073174400
A12R54MKO17TW0	B00000016W	5	1322179200
A3DXVYD2TQHWGD	B00000016W	4	1139356800
A1TGCU5CZF9LKA	B00000016W	5	1323648000
A2INX8B6VXUVW6	B00000016W	5	1107734400
A25CQTB313XDWO	B00000016W	5	988848000
A3SV72ZAHH2IDH	B00000016W	4	1117843200
A3DL686B8JEM8A	B00000016W	5	1110326400
AEHVPBNCQ3VMX	B00000016W	5	1170028800
A1ODZ7SDUPEGNK	B00000016W	3	998438400
A1HY4CVW8K1QFQ	B00000016W	5	1073520000
A2NQUGGYM0DBM1	B00000016W	5	1126915200
ASSCA9IS0GWF5	B00000016W	5	1190851200
A2AOZQ3WTNVVOK	B00000016W	5	1130630400
AOYLVUVF5VZTU	B00000016W	5	1143417600
AHN34TYB15NWF	B00000016W	5	1184371200
A18IZ5QX2PRB3C	B00000016W	5	1109808000
A3Q83VI243WI7U	B00000016W	4	1072051200
A34Y1FT0MTD7C9	B00000016W	3	1207440000
A2UR38SZPVA07I	B00000016W	5	1214006400
A32XSKO7TOI0BH	B00000016W	4	1272153600
A1GN8UJIZLCA59	B00000016W	5	987120000
A2VN986E5KR1NV	B00000016W	5	1096502400
A1SFRUEEWK1AZU	B00000016W	5	993081600
A3QTSCTRZF3VGY	B00000016W	5	1080777600
A2162NFEC5ZSDQ	B00000016W	5	1326499200
A13IKSGDYNBNQS	B00000016W	5	1192665600
A3VXBO4QQX3ZG8	B00000016W	5	1232841600
A3RSO2MXIZA9EB	B00000016W	5	1177286400
A1XY7JL7CM85UU	B00000016W	5	1122768000
ATLZNVLYKP9AZ	B00000016W	5	1241136000
AQP1VPK16SVWM	B00000016W	5	1239408000
A4UKBG3M5U5TI	B00000016W	4	1023667200
A23IOPI0D1OG7V	B00000016W	5	994464000
A3U3PA6J2XOVFK	B00000017R	5	1369440000
A3HEM1WWXXLOUL	B00000017R	4	1062028800
A2C7BOQVFH1HLE	B00000017R	3	1131235200
A5WDJI6VT51TK	B00000017R	5	1029456000
A8IFUOL8S9BZC	B00000017R	3	1238976000
ASSCA9IS0GWF5	B00000017R	5	1185667200
A2R6RA8FRBS608	B00000017R	5	1182124800
A2NYK9KWFMJV4Y	B00000017R	5	1395619200
A2HW6URUDFZ0Z9	B00000017R	5	1046649600
A2E3IB2ZHJ7QXJ	B00000017R	4	1239580800
A2ZQXJD7YUIEHB	B00000017R	5	900460800
A1L1VZ854S2FB2	B00000017R	5	1352332800
A23I4TZSZYSY1Q	B0000001BA	5	1186704000
